feature,anova_f,anova_pvalue,mutual_information,random_forest_importance,score_anova_norm,score_mi_norm,score_rf_norm,composite_score,selected
raca_parda,97.70994999583806,2.2138939988098023e-45,0.8090757320894084,0.0505437463655324,1.0,0.983053916862392,0.766602353241575,0.9165520900346557,True
cefaleia_flag,88.17517083684558,7.185996587486491e-43,0.6984763313750226,0.06583193628632147,0.9022452126306504,0.8389517721839217,1.0,0.9137323282715241,True
criterio_lab,73.29555764376416,1.6131918367715132e-38,0.8220819690448506,0.04561984985965342,0.7496928147645688,1.0,0.6914315277018258,0.8137081141554648,True
nausea_flag,81.82513997198812,4.3955453419325e-41,0.538829044702176,0.055416439230562595,0.8371418781294514,0.6309441676846378,0.8409914767393236,0.7696925075178043,True
dor_retro_flag,85.76655244994029,3.3317797955532497e-42,0.5845612770820905,0.035684795929322166,0.8775509880094362,0.6905295969393433,0.5397577049817012,0.7026127633101602,True
leucopenia_flag,77.71518735979727,7.139851982919701e-40,0.661489067587864,0.03263029910093352,0.795004819996972,0.7907603353127397,0.4931261301863386,0.6929637618320168,True
exantema_flag,68.81527176735739,4.365450187729146e-37,0.5811384181238659,0.043214680242584416,0.7037589356574703,0.686069886365632,0.6547129278160785,0.6815139166130603,True
febre_flag,59.84354437275039,5.150879927262487e-34,0.5140842232270733,0.048792502121644696,0.6117768048528539,0.598703650817313,0.739866926252483,0.6501157939742166,True
mialgia_flag,56.43274217944668,9.115232422978424e-33,0.5844399226540498,0.04263503076836793,0.5768077470901625,0.6903714818570378,0.645863690337486,0.6376809730948955,True
criterio_clinico_epi,55.230933815580876,2.576578190945006e-32,0.7143073435762313,0.026523652186389964,0.5644862743943206,0.8595783108079096,0.3998988072119586,0.6079877974713962,True
caso_inconclusivo,37.853904621855555,5.5242985026834985e-25,0.5977652633785193,0.04283572638940597,0.3863292593635607,0.7077333316009277,0.6489276165385403,0.5809967358343429,True
caso_confirmado_provavel,37.85947408610794,5.490919799404699e-25,0.6044011488605587,0.040734827145877686,0.38638635998274384,0.7163793579231862,0.6168541701687199,0.5732066293582166,True
artrite_flag,56.08147998146344,1.2331729687089465e-32,0.45842325782879767,0.03911975376243206,0.5732064511500926,0.5261818791173117,0.5921976000324614,0.5638619767666219,True
criterio_clinico,18.211094564292548,4.242399220598814e-14,0.6689533514897765,0.03862462953413403,0.18494245338781592,0.8004856983057299,0.5846387699592752,0.5233556405509403,True
dor_costas_flag,58.43956146783043,1.6588282766039836e-33,0.4289752503385489,0.02479756561227647,0.597382549039261,0.487813488254046,0.37354745060357547,0.48624782929896077,True
laco_flag,45.08992918442929,3.0805028999982256e-28,0.5005207749891305,0.024222726039278303,0.46051619444812025,0.5810315660890207,0.3647716436377718,0.468773134724971,True
vomito_flag,38.228105076241896,3.680454984989806e-25,0.45674048859399585,0.02545687863305684,0.39016572848802406,0.5239893658291059,0.3836128741968601,0.43258932283799667,True
idade_anos,32.29629543935176,3.0138241020203233e-22,0.44443971501708335,0.021872338541661752,0.32935018361798146,0.5079624448676184,0.3288893767535694,0.3887340017463898,False
petequia_n_flag,28.819467184781413,2.0600069081964882e-20,0.3768980466613039,0.025055896158955884,0.2937041973735359,0.41996107051691794,0.3774912622642878,0.3637188433849139,False
caso_dengue_alarme,36.061804294684435,3.98369051358647e-24,0.4212994897691149,0.015318622592216455,0.3679558514947553,0.47781258813207994,0.22883685987296132,0.3582017664999322,False
obito_agravo,5.250956969153318,0.00017929676121716736,0.5322753164483753,0.021517895408484942,0.052069371194245595,0.6224051856385107,0.323478259177076,0.3326509386699441,False
artralgia_flag,30.123864647843483,4.1076955605194176e-21,0.4248334546224535,0.011891680912066459,0.3070774590422651,0.4824170607720315,0.17651934368108432,0.322004621165127,False
raca_branca,26.152146335615726,6.213559011579195e-19,0.3620194941594148,0.016962960827148547,0.2663576402998872,0.4005755104561521,0.2539402028126103,0.3069577845228832,False
alrm_abdom_flag,16.070192000509852,1.1405397606125485e-12,0.44143361237076073,0.012170857487886311,0.16299297019462708,0.504045734327953,0.18078140192107417,0.28260670214788475,False
caso_dengue_grave,6.535809086050483,1.575745276906913e-05,0.5676398279400701,0.006393482491892156,0.06524224530007994,0.6684823064777086,0.09258091935953848,0.27543515704577565,False
hipertensa_flag,24.491773062070113,5.603775018571398e-18,0.3140973731922774,0.0148343178366507,0.2493347566438851,0.3381368320880932,0.2214432056307901,0.2696382647875895,False
grav_pulso_flag,3.07871422470588,0.011258114112874085,0.59466172501745,0.0031901016817396394,0.029798574560450243,0.7036896701431506,0.04367640243278213,0.2590548823787943,False
conjuntvit_flag,30.838551799699413,1.7221869015043312e-21,0.32829877709128574,0.007091209957378728,0.31440474889348224,0.35664012185344285,0.10323279831754668,0.2580925563548239,False
obito_outras_causas,1.680447101128588,0.14265895865135017,0.5296306763046075,0.006204942223711325,0.015462919473783957,0.6189594317360652,0.08970256324670854,0.24137497148551923,False
raca_preta,15.100130692711016,5.30388443726182e-12,0.2455741043096622,0.01836887299300961,0.15304747116440845,0.24885651101416567,0.27540360644385437,0.22576919620747615,False
atraso_notificacao_dias,9.945896505337213,3.113435126713427e-08,0.32454177370363446,0.012979155832244998,0.10020397488234045,0.35174504789980604,0.1931213147838463,0.21502344585533092,False
grav_orgao_flag,3.9287594132368135,0.0022407887771464983,0.4560309414168322,0.0048356418750441,0.03851361507408503,0.5230648827910479,0.06879809510886595,0.21012553099133294,False
hospitalizado,18.015635375984917,5.697746272686491e-14,0.19488076058368975,0.014706914541299219,0.18293851904662276,0.18280715175316803,0.2194981990944787,0.1950812899647565,False
alrm_plaq_flag,12.055349245696247,8.024225503323014e-10,0.3133775977567268,0.008006098490383685,0.12183102052870011,0.33719902245006844,0.11719997374877679,0.19207667224251512,False
alrm_hepat_flag,2.8630421586167794,0.01687711240468173,0.39164808950268704,0.007190049168765097,0.02758740882598596,0.43917919280160916,0.10474173034053705,0.19050277732271073,False
alrm_liq_flag,0.20905536504373007,0.9582616552239448,0.42321605966452625,0.006190086075744938,0.0003775584077818527,0.480309724920987,0.08947576138244502,0.19005434823707132,False
gestante,10.014801733118572,2.7561529795084497e-08,0.26284556683003935,0.006734850470380762,0.10091042185694611,0.27135984082286363,0.09779242466335336,0.15668756244772103,False
raca_indigena,2.4410970547473316,0.03689577451636015,0.35217473794079623,0.004189167286758133,0.023261440366465342,0.3877485830426555,0.05892866986121839,0.15664623109011308,False
alrm_hemat_flag,3.2099577395438947,0.008788803826411513,0.34024716738461747,0.00460411611741154,0.03114414131901499,0.37220791567152056,0.06526349962860441,0.15620518553971333,False
grav_melen_flag,1.9524454694342177,0.08899043085951572,0.39080060875599276,0.0010943033199988703,0.01825156745557282,0.438074993390188,0.011680828840037847,0.15600246322859956,False
grav_ast_flag,3.928151220442762,0.0022433921137778386,0.3522776272459569,0.0024120015675931296,0.038507379611651064,0.38788263955148256,0.031797511829957645,0.15272917699769709,False
grav_insuf_flag,1.0281156397151638,0.4032410561446938,0.38526671138252944,0.0008374885757294841,0.00877492783376105,0.430864769150312,0.007760158225929739,0.14913328507000093,False
acido_pept_flag,5.6773314669315775,7.970001486564733e-05,0.271654585236071,0.00562280688905265,0.056440751765836225,0.2828372849737537,0.08081537529913428,0.14003113734624142,False
alrm_vom_flag,0.3978045820827164,0.8497517693227963,0.34115299944135824,0.0031383545063138406,0.002312699145716576,0.37338814215784616,0.04288640250255145,0.13952908126870472,False
grav_hemat_flag,1.0797098275670662,0.3739550865760162,0.3535040624738368,0.00148970515955011,0.009303894344558552,0.3894805862447302,0.017717243834446065,0.13883390814124494,False
grav_taqui_flag,0.4112844109352308,0.8403923776843616,0.35934822476424744,0.00135351404212581,0.0024509003333140883,0.39709506077585366,0.015638077727737253,0.13839467961230165,False
raca_amarela,4.7132294429704595,0.0005003116450769189,0.26702376925905247,0.005417571084226425,0.04655634995818728,0.2768037033305496,0.07768213623517711,0.13368072984130466,False
grav_extre_flag,0.7135777131695228,0.6141522320795647,0.32664330325100455,0.0023808753731369477,0.005550145422302002,0.3544831722741257,0.03132232277381312,0.13045188015674694,False
sexo_fem,7.573277564001708,2.280188835770004e-06,0.21971951793210476,0.00584036092971965,0.07587883255327033,0.21517005952604126,0.08413667110966172,0.12506185439632445,False
alrm_hipot_flag,1.6993541707317272,0.13813067231999646,0.2896091729478081,0.00302561965603995,0.01565676314210733,0.30623067209309723,0.04116533225827027,0.12101758916449162,False
sexo_masc,7.620489915914296,2.0897502659023067e-06,0.21328413292146964,0.004671637769379171,0.07636287453740681,0.20678526922994356,0.06629432111604922,0.11648082162779987,False
grav_hipot_flag,0.98297988109037,0.4301830339148299,0.2889857070198154,0.0015779137632718038,0.00831217600558056,0.30541834601558343,0.019063883341095208,0.1109314684540864,False
grav_ench_flag,3.4119905920927343,0.005994652152286281,0.2548086907713025,0.00229308890355674,0.03321547178332979,0.2608884361941007,0.02998212779171199,0.10802867858971416,False
alrm_sang_flag,1.5007249945022694,0.19290698481039045,0.2534117138981462,0.0032343911589872197,0.01362032867793339,0.2590682874212523,0.0443525491721479,0.10568038842377787,False
grav_consc_flag,0.9766038930392277,0.43408728304504096,0.2789546256578319,0.0006764712552289272,0.00824680654648605,0.2923486518909385,0.005301982085595825,0.10196581350767348,False
renal_flag,1.7437793741470367,0.12800375077583076,0.24625933219294893,0.0028860277959037945,0.016112230042943508,0.24974930796367267,0.039034248602767885,0.10163192886979468,False
grav_conv_flag,1.444999909588193,0.21140780251011027,0.2627166151189644,0.0011101284342858095,0.01304901037720726,0.27119182709036743,0.01192242346002829,0.09872108697586766,False
hepatopat_flag,3.2723978254484773,0.007809965800008864,0.2088612203465745,0.0036814107346040638,0.031784304789940244,0.2010225690376191,0.0511769880066006,0.0946612872780533,False
grav_metro_flag,0.3804269273258037,0.8615900381990497,0.2463938405375714,0.0007201609191721209,0.002134535717134401,0.24992456154381915,0.005968971755716401,0.08600935633889,False
auto_imune_flag,3.441104890813177,0.0056723785329480915,0.1794072181858759,0.002606808748971739,0.0335139644944211,0.16264636759976722,0.03477154197616755,0.07697729135678529,False
diabetes_flag,7.721183800731342,1.7354486389400183e-06,0.11177686984628554,0.0042232887627349225,0.07739523293140282,0.07452945034580813,0.05944958647974349,0.07045808991898482,False
hematolog_flag,3.303949856559765,0.007357149835421412,0.14387147439200287,0.0030468356132062795,0.03210779021534164,0.11634614481044354,0.041489226355740594,0.06331438712717526,False
alrm_letar_flag,0.17222917847325495,0.9725483140491483,0.17426355534728488,0.002320556926854474,0.0,0.1559445876465644,0.030401469259342437,0.06211535230196894,False
grav_sang_flag,0.30921597240782633,0.9068174674219921,0.1435993943410736,0.0010152031338830927,0.0014044494046674854,0.11599164633567889,0.01047324328587938,0.042623113008741914,False
grav_mioc_flag,1.1242046517084037,0.3500006583757083,0.054574997089908095,0.00032917679786403394,0.00976007502797489,0.0,0.0,0.0032533583426582967,False
